@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute Type numeric

@data
1,1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0
1,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0
1,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0
1,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0
1,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0
1,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0
1,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0
1,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0,0
2,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0
2,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0
2,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0
2,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0
2,1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0
2,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24
2,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35
3,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0
3,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0
3,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0,0.1
3,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0
3,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17
5,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51
5,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28
6,1.51905,14,2.39,1.56,72.37,0,9.57,0,0
6,1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0
6,1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0
7,1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0
7,1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0
7,1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0
